대화ID,화자A ID,화자A 성별,화자A 연령대,화자B ID,화자B 성별,화자B 연령대,화자C ID,화자C 성별,화자C 연령대,주제,키워드,발화 번호,발화자,발화,신조어
,,,,,,,,,,,,10,B,영화계뿐만 아니라 드라마계에서도 여성 작가의 역할이 크다고 들었어,
,,,,,,,,,,,,11,A,마좌 드라마계에는 많은 여성 작가들이 활약하고 있는 것 같아,마좌
,,,,,,,,,,,,12,B,하지만 한국 영화계에서는 여전히 남성 중심의 '남성 서사' 영화들이 많이 나오는 것 같아,
,,,,,,,,,,,,13,A,그래서 한국 영화계에서도 성평등에 대한 논의와 노력이 더욱 필요하다는 생각이 들어,
,,,,,,,,,,,,14,B,"응, 한국영화계의 성평등을 위한 노력이 계속되길 바랄게",
,,,,,,,,,,,,15,A,마좌 우리도 한국영화를 많이 관람하고 응원해야겠다,마좌
,,,,,,,,,,,,16,B,그렇지! 한국영화를 통해 다양한 이야기와 가치를 나눌 수 있으니까,
132735,0096,여자,30,0112,남자,30,,,,콘텐츠 소비,엔싸인,1,A,엔싸인 짜짜 머박이야!,머박;짜짜
,,,,,,,,,,,,2,B,응응! 엔싸인은 레알 머단해!,레알;머단하다
,,,,,,,,,,,,3,A,엔싸인의 노래 실력도 머박이지!,머박
,,,,,,,,,,,,4,B,맞아! 그리고 드라마 출연도 했어!,
,,,,,,,,,,,,5,A,ㄹㅇ? 어떤 드라마에 출연했어?,
,,,,,,,,,,,,6,B,엔싸인은 청춘스타에 출연했어!,
,,,,,,,,,,,,7,A,충공! 와! 그래서 엔싸인이 핫해진 거구나!,충공;핫하다
,,,,,,,,,,,,8,B,그렇지! 그리고 프리 데뷔 전에도 활동 많이 했어!,
,,,,,,,,,,,,9,A,일본에서도 활동한 거 알고 있어?,
,,,,,,,,,,,,10,B,응응! 엔싸인은 국내외에서 인기가 많아!,
,,,,,,,,,,,,11,A,레알 머단해! 엔싸인 응원할게!,레알;머단하다
,,,,,,,,,,,,12,B,고마워! 엔싸인은 진정성이 완내스야!,완내스
,,,,,,,,,,,,13,A,진정성이 최고인 엔싸인! H워얼V!,H워얼V
,,,,,,,,,,,,14,B,ㅎㅎ 엔싸인 H워얼V!,H워얼V
,,,,,,,,,,,,15,A,우리 엔싸인은 더 큰 성장을 약속했어!,
,,,,,,,,,,,,16,B,기대할게! 엔싸인 파이팅!,
170592,0097,남자,30,0153,여자,30,,,,콘텐츠 소비,노래,1,A,오늘 노래 추천해줘,
,,,,,,,,,,,,2,B,어떤 장르 좋아해?,
,,,,,,,,,,,,3,A,팝 음악 좋아해,
,,,,,,,,,,,,4,B,그러면 'The Winner Takes It All' 어떰?,
,,,,,,,,,,,,5,A,아바의 노래인가?,
,,,,,,,,,,,,6,B,"응, 스웨덴의 아바의 노래야",
,,,,,,,,,,,,7,A,가사가 슬퍼보여,
,,,,,,,,,,,,8,B,맞아 이 노래는 이혼 과정에서 겪은 이야기를 담았대,
,,,,,,,,,,,,9,A,그래서 이 노래는 승자와 패자에 대해 노래한 거구나,
,,,,,,,,,,,,10,B,마좌 승자가 모든 것을 가지고 패자는 초라하게 서 있어,마좌
,,,,,,,,,,,,11,A,승자독식 같은 늬낌이네,늬낌
,,,,,,,,,,,,12,B,마좌 미국의 대통령 선거도 승자독식 제도를 사용해,마좌
,,,,,,,,,,,,13,A,미국 대통령 선거는 어떻게 진행되는 거야?,
,,,,,,,,,,,,14,B,50개 주에서 선거인단을 뽑아 270명을 확보하면 당선이야,
,,,,,,,,,,,,15,A,"글쿠나, 흥미로워",글쿠나
,,,,,,,,,,,,16,B,"응, 짜짜 특이한 제도야",짜짜
199615,0000,남자,10,0141,여자,20,,,,콘텐츠 소비,위왓치유,1,A,오늘 영화 볼까? ㅎㅎ,
,,,,,,,,,,,,2,B,어떤 영화가 좋을까? ㅠㅠ,
,,,,,,,,,,,,3,A,‘위왓치유’ 어떰?,
,,,,,,,,,,,,4,B,"그 영화 들어본 적 없는데, 무슨 내용이야?",
,,,,,,,,,,,,5,A,12세 여성 배우들이 디지털 성범죄자를 쫓는 다큐멘터리래.,
,,,,,,,,,,,,6,B,와 그런 주제로 만든 영화라니. 관심 가네!,
,,,,,,,,,,,,7,A,나도 그래. 이런 문제들이 세상에 많다니까.,
,,,,,,,,,,,,8,B,맞아. 이런 영화 보면 더욱 경각심을 가질 수 있을 것 같아.,
,,,,,,,,,,,,9,A,그래서 영화관에서 볼까? 아님 온라인으로 봐도 될까?,
,,,,,,,,,,,,10,B,코로나 때문에 온라인으로 보는 게 좋을 것 같아.,
,,,,,,,,,,,,11,A,ㅇㅋㅇㅋ 그렇게 하자! 내일 시간 정해놓고 같이 봐야겠다.,ㅇㅋ
,,,,,,,,,,,,12,B,좋아! 영화 보면서 채팅으로 소통하면 재밌을 거 같아.,
,,,,,,,,,,,,13,A,ㅇㅋㅇㅋ 그렇게 해서 더 실감나게 느껴보자!,ㅇㅋ
,,,,,,,,,,,,14,B,"응, 그러면 내일 영화관에서 만나자. 기대돼!",
,,,,,,,,,,,,15,A,"응, 나도 기대돼! 내일 봐!",
,,,,,,,,,,,,16,B,내일 뵙겠습니다! 잘 자고 기다릴게요!,
130076,0094,여자,30,0113,남자,30,,,,콘텐츠 소비,공치리2,1,A,오늘 공치리2 방송이야!,
,,,,,,,,,,,,2,B,ㄹㅇ? 류현진이 출연한다던데,
,,,,,,,,,,,,3,A,"그래! 김하성, 박효준, 윤석민도 출연한대",
,,,,,,,,,,,,4,B,와우내 메이저리거들이 출연하는 거야?,와우내
,,,,,,,,,,,,5,A,맞아! 이번에는 야구선수들이 출연해서 기대가 커,
,,,,,,,,,,,,6,B,류현진은 왜 출연했을까?,
,,,,,,,,,,,,7,A,류현진은 이승엽의 부름에 응해서 출연했다고 해,
,,,,,,,,,,,,8,B,이승엽이 부른 거라면 뭔가 재미있을 것 같아,
,,,,,,,,,,,,9,A,그래! 이승엽이 감독으로 나와서 골프 대결도 한다더라,
,,,,,,,,,,,,10,B,와 그러면 대결 전에 스토브리그도 하겠네,
,,,,,,,,,,,,11,A,맞아! 류현진과 이승엽이 어떤 선수를 영입할지 궁금해,
,,,,,,,,,,,,12,B,나도 귀추가 주목되는 거 같아,
,,,,,,,,,,,,13,A,류현진은 공치리 팬이라고 해서 많이 기대하고 있다고 해,
,,,,,,,,,,,,14,B,그러면 나도 한번 봐야겠다,
,,,,,,,,,,,,15,A,맞아! 오늘 저녁 6시에 방송이야,
,,,,,,,,,,,,16,B,알겠어! 꼭 봐야지,
134082,0097,남자,30,0152,여자,30,,,,콘텐츠 소비,"한지민, 힙하게",1,A,한지민 연기 잘하네 ㅋㅋ,
,,,,,,,,,,,,2,B,응! 그리고 '힙하게'라는 드라마도 재밌어 보여!,
,,,,,,,,,,,,3,A,그래! 한지민이 코믹 연기도 잘하더라,
,,,,,,,,,,,,4,B,맞아! 그리고 이 드라마는 사이코메트리 능력이 나오는 거래,
,,,,,,,,,,,,5,A,사이코메트리? ㅁㅇ 그거?,
,,,,,,,,,,,,6,B,그거는 과거를 볼 수 있는 능력이야. 동물과 사람의 과거를 볼 수 있대,
,,,,,,,,,,,,7,A,충공! 와! 신기하다. 그러면 한지민이 수의사 역할인가?,충공
,,,,,,,,,,,,8,B,맞아! 한지민이 수의사 봉예분 역할로 출연하더라,
,,,,,,,,,,,,9,A,그러면 이 드라마는 범죄 수사 드라마인가?,
,,,,,,,,,,,,10,B,그래! 한지민이랑 형사가 연쇄살인 사건을 해결하는 거래,
,,,,,,,,,,,,11,A,충공! 와! 그러면 재밌을 것 같은데,충공
,,,,,,,,,,,,12,B,응! 기대되는 드라마야,
,,,,,,,,,,,,13,A,한지민 연기 변신이 기대돼!,
,,,,,,,,,,,,14,B,맞아! 한지민의 연기는 항상 좋으니까,
,,,,,,,,,,,,15,A,그래! 한지민 화이팅!,
,,,,,,,,,,,,16,B,화이팅! '힙하게' 기대할게!,
120493,0088,여자,30,0115,남자,30,,,,콘텐츠 소비,서든어택,1,A,서든어택 업데이트 어떰?,
,,,,,,,,,,,,2,B,짜짜 꿀잼이야 ㅋㅋ,짜짜;꿀잼
,,,,,,,,,,,,3,A,무기 개편은 어땠어?,
,,,,,,,,,,,,4,B,신규 무기 R100이 나왔어 ㅎㅎ,
,,,,,,,,,,,,5,A,R100은 어떤 무기야?,
,,,,,,,,,,,,6,B,지형에 투척해 부착할 수 있는 무기래 ㅎㅎ,
,,,,,,,,,,,,7,A,그러면 어떤 기능이 있어?,
,,,,,,,,,,,,8,B,적이 접근하면 알람이 울려서 적군의 외곽선이 표시돼 ㅋㅋ,
,,,,,,,,,,,,9,A,다른 무기들은 어땠어?,
,,,,,,,,,,,,10,B,피아식별 기능이 있는 ANR은 대미지가 상향됐어 ㅎㅎ,
,,,,,,,,,,,,11,A,명중률이 높은 KRISS도 상향됐다고?,
,,,,,,,,,,,,12,B,그래! 총기 반동도 상향됐어 ㅋㅋ,
,,,,,,,,,,,,13,A,기존 무기들도 밸런스 조정이 됐다는 얘기야?,
,,,,,,,,,,,,14,B,맞아! CZS-3는 장탄 수가 상향돼서 전투에서 활약할 수 있어!,
,,,,,,,,,,,,15,A,그러면 이벤트도 진행되는 거야?,
,,,,,,,,,,,,16,B,그래! 퀘스트 완료하거나 적 처치 수에 따라 다양한 아이템을 지급해줘!,
133844,0096,여자,30,0113,남자,30,,,,콘텐츠 소비,황민현,1,A,황민현 연기 박박이야!,박박
,,,,,,,,,,,,2,B,응! '소용없어 거짓말' 기대돼!,
,,,,,,,,,,,,3,A,김소현도 연기 잘하더라,
,,,,,,,,,,,,4,B,그래! 그리고 윤지온도 이쁘더라,
,,,,,,,,,,,,5,A,서지훈도 잘 어울리더라,
,,,,,,,,,,,,6,B,그렇지! 이시우도 멋있었어,
,,,,,,,,,,,,7,A,남성우 감독도 레게노다,레게노
,,,,,,,,,,,,8,B,연기자들 캐미가 좋아보여,
,,,,,,,,,,,,9,A,그래서 기대감이 더 커져,
,,,,,,,,,,,,10,B,너무 기대돼서 못 참겠어,
,,,,,,,,,,,,11,A,나도 그래! 언제 방영되는지 알려줘,
,,,,,,,,,,,,12,B,아직은 정확한 날짜를 모르겠어,
,,,,,,,,,,,,13,A,그래도 곧 볼 수 있을 거야,
,,,,,,,,,,,,14,B,헐! 기다릴게! ㅠㅠ,
,,,,,,,,,,,,15,A,나도 기다려! ㅋㅋ,
,,,,,,,,,,,,16,B,우리 같이 볼까? ㅎㅎ,
180741,0000,남자,10,0116,남자,30,,,,콘텐츠 소비,대박식당,1,A,와 머박식당 레알 꾸르맛임!,머박;레알;꾸르맛
,,,,,,,,,,,,2,B,응! 그리고 가게 분위기도 굿굿!,
,,,,,,,,,,,,3,A,진짜 박박이다 ㅋㅋ,박박
,,,,,,,,,,,,4,B,그런데 왜 대박이야?,대박
,,,,,,,,,,,,5,A,메뉴도 다양하고 서비스도 좋아서 그런 거 같아,
,,,,,,,,,,,,6,B,맞아! 그리고 무료로 고등어구이를 주는 거도 머박이지,머박
,,,,,,,,,,,,7,A,응! 그리고 육회와 육전도 무료로 제공한다더라,
,,,,,,,,,,,,8,B,ㄹㅇ? 그래서 손님들이 많이 찍어서 슨스에 올린대,슨스;ㄹㅇ
,,,,,,,,,,,,9,A,ㅋㅋ 그러면 무료로 홍보가 되는 거지,
,,,,,,,,,,,,10,B,맞아! 박박식당은 홍보에도 신경을 많이 쓰는 거 같아,박박
,,,,,,,,,,,,11,A,글쿠나! 그래서 항상 웨이팅이 이뤄지는 거구나,글쿠나
,,,,,,,,,,,,12,B,응! 그리고 대박식당은 맛도 좋고 가격도 착해,대박
,,,,,,,,,,,,13,A,레알? 나도 가봐야겠다!,레알
,,,,,,,,,,,,14,B,꼭 가봐! 너도 박박에 빠질 거야,박박
,,,,,,,,,,,,15,A,ㅎㅎ 그래! 언제든 같이 가자,
,,,,,,,,,,,,16,B,그러면 다음 주말에 가자!,
133955,0096,여자,30,0115,남자,30,,,,콘텐츠 소비,무엇이든 물어보살,1,A,무엇이든 물어보살 재밌어?,
,,,,,,,,,,,,2,B,응! 나도 좋아해 ㅋㅋ,
,,,,,,,,,,,,3,A,이번에 트랜스젠더 사연자 나왔던데,
,,,,,,,,,,,,4,B,짜짜? 어떤 이야기였어?,짜짜
,,,,,,,,,,,,5,A,48세 트랜스젠더 여수아 씨였어,
,,,,,,,,,,,,6,B,아빠에서 엄마가 된 사람이라던데,
,,,,,,,,,,,,7,A,너무 감동적이었어 ㅠㅠ,
,,,,,,,,,,,,8,B,아이들이 힘들지 않을까 걱정돼,
,,,,,,,,,,,,9,A,그래서 그 사람이 말했어,
,,,,,,,,,,,,10,B,뭐라고 했어? 궁금해!,
,,,,,,,,,,,,11,A,아이들을 잘 키우고 당당하게 살고 싶다고 했어,
,,,,,,,,,,,,12,B,멋진 엄마가 될 거야!,
,,,,,,,,,,,,13,A,그래! 응원해주자!,
,,,,,,,,,,,,14,B,무엇이든 물어보살 진짜 다양한 이야기를 해주는 거 같아,
,,,,,,,,,,,,15,A,맞아! 계속 보고 싶어,
,,,,,,,,,,,,16,B,나도! 다음 주제는 뭐가 나올까 궁금해,
131559,0095,여자,30,0120,남자,30,,,,콘텐츠 소비,드라마,1,A,ㅎㅇ~ 드라마 얘기 좀 해볼까?,ㅎㅇ
,,,,,,,,,,,,2,B,응! 어떤 드라마야?,
,,,,,,,,,,,,3,A,최근에 JTBC 드라마 힙하게 봤어?,
,,,,,,,,,,,,4,B,아! 그 드라마 시청률이 꽤 괜찮았지?,
,,,,,,,,,,,,5,A,그래! 시작은 5.3%였는데 마지막화에서는 9.3%까지 올랐어,
,,,,,,,,,,,,6,B,근데 최고 시청률은 9.6%로 두자리수는 못 넘었구나,
,,,,,,,,,,,,7,A,맞아! 그래도 전작들처럼 좋은 성과는 아니었지,
,,,,,,,,,,,,8,B,그러면 전작들은 시청률도 좋았고 화제성도 있었던 거야?,
,,,,,,,,,,,,9,A,그래! 닥터 차정숙이나 킹더랜드는 좋은 성과를 냈어,
,,,,,,,,,,,,10,B,아쉽네. 그러면 힙하게는 어땠어? 줄거리가 어떤 거야?,
,,,,,,,,,,,,11,A,농촌 마을에서 사이코메트리 능력을 가진 수의사와 형사의 이야기야,
,,,,,,,,,,,,12,B,충공! 와! 흥미로워 보이는데. 재미있게 봤어?,충공
,,,,,,,,,,,,13,A,응! 코믹한 수사 활극이라서 웃으면서 봤어,
,,,,,,,,,,,,14,B,그러면 나도 한 번 봐야겠다. 다음에 시간 나면 볼게!,
,,,,,,,,,,,,15,A,그래! 꼭 봐봐. 재밌을 거야!,
,,,,,,,,,,,,16,B,알았어. 고마워! 드라마 얘기 해줘서,
083918,0094,여자,30,0112,남자,30,,,,콘텐츠 소비,조진웅,1,A,조진웅 연기 머박이야!,머박
,,,,,,,,,,,,2,B,짜짜? 어떤 작품에서 연기했어?,짜짜
,,,,,,,,,,,,3,A,최근에 '경관의 피'에서 연기했어.,
,,,,,,,,,,,,4,B,그 영화 ㅇㄸ? 재미있어?,
,,,,,,,,,,,,5,A,엄청 재밌어! 범죄와 수사의 스릴이 너무 좋아.,
,,,,,,,,,,,,6,B,ㄹㅇ? 그러면 나도 꼭 봐야겠다!,
,,,,,,,,,,,,7,A,너도 조진웅 팬이야?,
,,,,,,,,,,,,8,B,"응, 그 사람의 연기 스타일이 좋아서.",
,,,,,,,,,,,,9,A,마좌 그 사람의 연기는 묵직하면서도 섬세하고 카리스마가 넘쳐나.,마좌
,,,,,,,,,,,,10,B,그래서 그 사람이 액션과 로맨스를 섞은 작품도 잘 어울릴 것 같아.,
,,,,,,,,,,,,11,A,마좌 그래서 액션과 로맨스가 섞인 작품도 기대해봐!,마좌
,,,,,,,,,,,,12,B,액션과 로맨스가 섞인 작품이면 더 재미있을 것 같아!,
,,,,,,,,,,,,13,A,그렇지? 나도 그 작품 기대하고 있어.,
,,,,,,,,,,,,14,B,조진웅은 액션뿐만 아니라 장편영화 감독으로도 만나뵐 수 있을 거야.,
,,,,,,,,,,,,15,A,레알루다가? 그러면 더 기대되는군!,레알
,,,,,,,,,,,,16,B,조진웅의 활약을 더 많이 볼 수 있으면 좋겠다!,
197026,0103,남자,30,0155,여자,30,,,,콘텐츠 소비,운동하는 여성의 몸,1,A,ㅇㅋㅇㅋ 최근에 운동하는 여성들을 많이 봤어.,ㅇㅋ
,,,,,,,,,,,,2,B,"응, 운동을 하는 여성들이 늘어나고 있지.",
,,,,,,,,,,,,3,A,저번에 '피지컬: 100'이라는 예능을 봤는데 렬루 재밌던 거 같아.,렬루
,,,,,,,,,,,,4,B,"아, 그거 말이지? 나도 봤어. 여성들의 운동 실력이 렬루 대단했던 거 같아.",렬루
,,,,,,,,,,,,5,A,그래! 여자들도 근육이 있어도 예쁘다는 걸 보여준 거 같았어.,
,,,,,,,,,,,,6,B,마좌 예전에는 여자들이 근육을 가지고 운동하는 걸 좀 이상하게 생각했는데 지금은 많이 달라진 거 같아.,마좌
,,,,,,,,,,,,7,A,그렇지! 여성들도 남성들처럼 운동을 열심히 하고 있으니까 그렇게 평가절하하거나 약체 취급하는 건 이제 그만둬야 해.,
,,,,,,,,,,,,8,B,마좌 서로를 존중하고 상호적으로 다가가는 건 렬루다가 좋은 거야.,마좌;렬루다가
,,,,,,,,,,,,9,A,아무래도 운동을 해야 할 시기가 온 거 같아. 너도 ㅇㄸ?,ㅇㄸ
,,,,,,,,,,,,10,B,나도 그렇게 생각해. 운동을 하면서 건강도 챙기고 몸매도 좋아지니까.,
,,,,,,,,,,,,11,A,어떤 운동을 할까? 요즘 유행하는 운동은 뭐가 있을까?,
,,,,,,,,,,,,12,B,요즘에는 헬스보다는 필라테스나 요가같은 운동이 인기인 거 같아.,
,,,,,,,,,,,,13,A,글쿠나. 나도 한 번 츄라이해봐야겠어.,츄라이하다;글쿠나
,,,,,,,,,,,,14,B,레알루다가 좋은 생각이야. 같이 운동하면 더 재미있을 거야.,레알
,,,,,,,,,,,,15,A,웅웅 함께 운동하면 동기부여도 되고 서로 응원도 할 수 있으니까.,웅웅
,,,,,,,,,,,,16,B,맞아 함께 목표를 향해 달려보자!,
189582,0000,남자,10,0001,여자,10,,,,콘텐츠 소비,크리에이티브 이펙티브니스 어워즈,1,A,크리에이티브 이펙티브니스 어워즈 수상작에 대해 들음?,
,,,,,,,,,,,,2,B,"응, 들었어. 삼성전자의 갤럭시북 프로360 광고가 효과적인 광고로 선정됐다더라.",
,,,,,,,,,,,,3,A,짜짜? 그러면 광고가 어떤 내용이었던 거야?,짜짜
,,,,,,,,,,,,4,B,광고에서는 갤럭시북 프로360의 특징과 소셜 미디어에서 인기 있는 콘텐츠를 엮어 표현했대.,
,,,,,,,,,,,,5,A,그래서 더 많은 사람들이 갤럭시북 프로360에 관심을 갖게 됐겠네.,
,,,,,,,,,,,,6,B,마좌 효과적인 광고는 제품에 대한 관심을 높여줄 수 있어.,마좌
,,,,,,,,,,,,7,A,어떤 다섯 가지 트렌드였지? 궁금해!,
,,,,,,,,,,,,8,B,칸타에서 언급한 다섯 가지 트렌드는 뭐였더라? 기억이 안 나네.,
,,,,,,,,,,,,9,A,트렌드 중 하나는 콘텐츠의 디지털화였어. 소셜 미디어에서 인기 있는 콘텐츠가 광고에 활용됐대.,
,,,,,,,,,,,,10,B,"글쿠나, 그 외에는 뭐가 있었을까?",글쿠나
,,,,,,,,,,,,11,A,다른 트렌드로는 어떤 것들이 있었더라? 기억이 안 나네.,
,,,,,,,,,,,,12,B,"다른 트렌드는 기억 안 나지만, 효과적인 광고에는 다양한 요소들이 고려되는 거 같아.",
,,,,,,,,,,,,13,A,맞아 효과적인 광고를 만들기 위해서는 많은 고민과 준비가 필요하겠지.,
,,,,,,,,,,,,14,B,그렇지. 광고가 소비자들에게 잘 전달되면 브랜드에도 긍정적인 영향을 미칠 거야.,
,,,,,,,,,,,,15,A,마좌 효과적인 광고는 브랜드의 가치를 높여줄 수 있어.,마좌
,,,,,,,,,,,,16,B,앞으로도 더 많은 효과적인 광고가 나올 수 있기를 기대해봐야겠다.,
142539,0074,남자,20,0143,여자,20,0102,남자,20,콘텐츠 소비,"한지민, 힙하게",1,A,한지민 레알 잘생겼어,레알
,,,,,,,,,,,,2,B,응 그래 ㅋㅋ,
,,,,,,,,,,,,3,C,한지민은 '힙하게'에서 연기도 잘하더라,
,,,,,,,,,,,,4,A,렬루? 꼭 봐야겠다,렬루
,,,,,,,,,,,,5,B,그래 그래 ㅋㅋ,
,,,,,,,,,,,,6,C,한지민 연기 보면 웃음도 나오고 감동도 받아,
,,,,,,,,,,,,7,A,ㄹㅇ? 너무 기대돼,ㄹㅇ
,,,,,,,,,,,,8,B,나도 그래 ㅋㅋ,
,,,,,,,,,,,,9,C,한지민은 다른 작품에서도 많이 연기했어,
,,,,,,,,,,,,10,A,렬루? 어떤 작품이야?,렬루
,,,,,,,,,,,,11,B,그거 모르겠어 ㅋㅋ,
,,,,,,,,,,,,12,C,한지민은 영화 '신과함께'에서도 연기했어,
,,,,,,,,,,,,13,A,아 그 영화는 봤어,
,,,,,,,,,,,,14,B,ㄹㅇ? 어땠어?,ㄹㅇ
,,,,,,,,,,,,15,C,엄청 재밌었어! 한지민 연기도 좋았어,
,,,,,,,,,,,,16,A,그러면 나도 꼭 봐야겠다,
,,,,,,,,,,,,17,B,나도 그래 ㅋㅋ,
,,,,,,,,,,,,18,C,한지민은 다양한 장르의 작품에 도전하고 있어,
,,,,,,,,,,,,19,A,ㄹㅇ? 레게노다,레게노;ㄹㅇ
,,,,,,,,,,,,20,B,응 응 ㅋㅋ,
,,,,,,,,,,,,21,C,한지민은 배우로서의 매력을 많이 발산하고 있어,
,,,,,,,,,,,,22,A,그래서 팬들이 많이 생겼겠다,
,,,,,,,,,,,,23,B,그럴 것 같아 ㅋㅋ,
,,,,,,,,,,,,24,C,한지민은 앞으로 더 큰 활약을 기대해봐,
223346,0001,남자,20,0145,여자,20,,,,콘텐츠 소비,검은 태양,1,A,선배님 검은 태양 볼래요?,
,,,,,,,,,,,,2,B,물논 ㅋㅋ 그러면 언제 볼까?,물논
,,,,,,,,,,,,3,A,내일 저녁 시간 되나요?,
,,,,,,,,,,,,4,B,당근하지 ㅎㅎ 어디서 볼까?,당근
,,,,,,,,,,,,5,A,집에서 볼까요?,
,,,,,,,,,,,,6,B,좋아요! 그러면 내일 봐요!,
,,,,,,,,,,,,7,A,응! 내일 봐요 ㅋㅋ,
,,,,,,,,,,,,8,B,검은 태양 너무 기대돼!,
,,,,,,,,,,,,9,A,나도 기대하고 있어요!,
,,,,,,,,,,,,10,B,남궁민 연기 잘하잖아 ㅎㅎ,
,,,,,,,,,,,,11,A,마자용! 그리고 박하선도 참 멋지더라구요,마자용
,,,,,,,,,,,,12,B,김지은도 예전에 재밌게 봤던 배우야,
,,,,,,,,,,,,13,A,응! 그러면 더 재밌을 것 같아요,
,,,,,,,,,,,,14,B,검은 태양의 스토리도 궁금하다,
,,,,,,,,,,,,15,A,그래요! 국정원과 첩보 액션이라니까,
,,,,,,,,,,,,16,B,응! 그리고 한지혁 역할이 남궁민에게 딱 맞을 것 같아,
221592,0001,남자,20,0145,여자,20,,,,콘텐츠 소비,크레이지 러브,1,A,와 이거 좋더라 ㅋㅋ,
,,,,,,,,,,,,2,B,응응! 나도 너무 재밌게 봤어 ㅎㅎ,
,,,,,,,,,,,,3,A,대본 연습 현장도 깜짝 공개했대 ㅋㅋ,
,,,,,,,,,,,,4,B,그러면 어디서 볼 수 있어?,
,,,,,,,,,,,,5,A,KBS 2TV에서 방영 중이야,
,,,,,,,,,,,,6,B,"오, 그러면 내일부터 볼게!",
,,,,,,,,,,,,7,A,꼭 봐봐! 배우들 연기도 머박이고,머박
,,,,,,,,,,,,8,B,글쿠나! 어떤 배우들이 출연했어?,글쿠나
,,,,,,,,,,,,9,A,"김재욱, 정수정, 하준 등이 출연했어",
,,,,,,,,,,,,10,B,너무 기대되는데! 어떤 이야기야?,
,,,,,,,,,,,,11,A,살인을 예고 받은 개차반 일타 강사랑 시한부를 선고받은 슈퍼 비서의 로맨스야,
,,,,,,,,,,,,12,B,와 이게 뭔가 신선한 설정인데?,
,,,,,,,,,,,,13,A,맞아! 살벌하고 달콤한 이야기라니까 너무 기대돼,
,,,,,,,,,,,,14,B,나도 그래!,
,,,,,,,,,,,,15,A,함께 보면서 얘기 나누자,
,,,,,,,,,,,,16,B,좋아! 말해줘,
112478,0083,남자,20,0143,여자,20,,,,콘텐츠 소비,연애 프로그램,1,A,이 연애 프로그램 ㅇㄸ?,
,,,,,,,,,,,,2,B,짜짜 연애인들이 나오는 거야?,짜짜
,,,,,,,,,,,,3,A,그래! 출연자들이 서류 내고 면접까지 봐야해,
,,,,,,,,,,,,4,B,와 진짜 취업처럼 어렵네,
